Price,Close,High,Low,Open,Volume
Ticker,AFCONS.NS,AFCONS.NS,AFCONS.NS,AFCONS.NS,AFCONS.NS
2025-05-26,430.44940185546875,437.3576773011086,426.4237353685809,437.3576773011086,1498133
2025-05-27,429.1075439453125,437.8546855756412,426.42374599761655,433.7296134469557,820358
2025-05-28,425.1315612792969,432.3380231247619,423.6405691733386,430.3997212532913,596926
2025-05-29,421.3046569824219,426.4237235880031,419.51544833321447,426.2746304508135,741066
2025-05-30,420.50946044921875,425.13156023377195,419.4657781113395,423.4417570507835,995756
2025-06-02,424.1375427246094,427.11952676907305,419.0184458474984,423.78963851922657,1004187
2025-06-03,420.1118469238281,426.4237192310567,418.3226686272122,426.3740316306047,1280378
2025-06-04,418.9687805175781,422.0998578638364,416.78197996834047,420.50946022205557,549117
2025-06-05,421.4040832519531,423.0441685103533,419.0681895400197,422.4477655979408,593664
2025-06-06,432.5865173339844,434.87269307241183,423.34234817208664,423.3920661090248,2629701
2025-06-09,445.2102355957031,457.6848877165073,439.6438590146403,448.68921716707837,3696279
2025-06-10,442.77496337890625,447.39703279366944,440.63785044790956,446.30363252685265,1081694
2025-06-11,445.0611267089844,447.3473023841504,441.4330521226075,442.17854814724564,1133337
2025-06-12,443.3216552734375,452.8142929331236,442.2282549895329,445.5084558412466,1229345
2025-06-13,438.20257568359375,440.73725007027906,431.89070318355414,437.0594878294869,1678030
2025-06-16,441.4827575683594,443.71924573267154,427.91473543839464,437.3576854654905,829107
2025-06-17,442.3773498535156,445.50845757284685,436.71159799831764,441.8306648765946,1095980
2025-06-18,437.1091613769531,446.3036121847685,432.4373742381768,441.3336387751385,663855
2025-06-19,422.29864501953125,437.00975412035933,415.6885864776249,432.9840878081418,2415566
2025-06-20,437.15887451171875,460.0704714689624,415.7382999987649,421.4537697536792,8704186
2025-06-23,432.7852783203125,444.06712402381777,428.5111133229736,441.33363864930067,1425984
2025-06-24,435.6678771972656,442.32765400933306,433.38170145633535,436.36368564066794,1270668
2025-06-25,435.2205810546875,442.2282314850016,433.43137241221905,436.5624799529612,715492
2025-06-26,435.9660949707031,440.9360686244177,430.79731023711525,436.2642812562013,936393
2025-06-27,439.7432556152344,443.81864001142895,437.3576743673656,437.3576743673656,924845
2025-06-30,434.822998046875,443.12282960837746,431.54279730310986,440.28996895217233,708068
2025-07-01,430.79730224609375,438.30198052458275,427.46741389301,435.3696839895587,417101
2025-07-02,428.31231689453125,432.7356055127724,423.0441570354607,432.33801369338596,1379469
2025-07-03,430.35003662109375,432.785305543717,426.52315078918593,430.6979105141026,682871
2025-07-04,426.22491455078125,434.8229929596035,422.89505657850725,430.9961073038063,827834
2025-07-07,421.4040832519531,427.2189282286162,419.1675950811405,425.429749825691,650557
2025-07-08,423.73992919921875,425.3303267887943,416.8813718243795,419.56516965268275,726024
2025-07-09,422.29864501953125,427.31830600975906,418.72025811183215,422.000428415542,1055515
2025-07-10,425.9764099121094,428.21289795225204,421.35434069601,422.4477409158307,494721
2025-07-11,422.44775390625,424.8333351555642,416.13588139867085,423.49143622335265,834296
2025-07-14,419.8633728027344,424.33634914012356,417.08019965986153,422.44776519786615,520914
2025-07-15,420.6088562011719,425.23092554384846,419.1178641335787,421.25494669693336,305332
2025-07-16,416.93109130859375,423.14355821726684,416.48378155744484,421.60284822332926,641112
2025-07-17,413.79998779296875,420.5591700567348,412.80599307779534,416.9807830152482,1149899
2025-07-18,417.1499938964844,439.8999938964844,414.54998779296875,437.0,6073361
2025-07-21,418.79998779296875,421.5,415.5,418.5,603501
