Price,Close,High,Low,Open,Volume
Ticker,21STCENMGM.NS,21STCENMGM.NS,21STCENMGM.NS,21STCENMGM.NS,21STCENMGM.NS
2025-05-26,70.7699966430664,71.26000213623047,70.0,71.26000213623047,3878
2025-05-27,71.7300033569336,72.18000030517578,70.0,70.77999877929688,7798
2025-05-28,72.20999908447266,73.16000366210938,71.55000305175781,71.55000305175781,3759
2025-05-29,72.47000122070312,73.5,71.1500015258789,72.3499984741211,3973
2025-05-30,71.0199966430664,72.0999984741211,71.0199966430664,71.02999877929688,3180
2025-06-02,69.58999633789062,69.5999984741211,69.58999633789062,69.5999984741211,5640
2025-06-03,68.19000244140625,69.5,68.19000244140625,68.19000244140625,12538
2025-06-04,66.88999938964844,68.44999694824219,66.81999969482422,66.81999969482422,6925
2025-06-05,66.05999755859375,68.19999694824219,65.55000305175781,67.01000213623047,5481
2025-06-06,67.2300033569336,67.37999725341797,65.0999984741211,65.7300033569336,11278
2025-06-09,67.20999908447266,68.56999969482422,65.93000030517578,65.93000030517578,10355
2025-06-10,66.93000030517578,68.44999694824219,66.51000213623047,68.44999694824219,16697
2025-06-11,65.9800033569336,67.58000183105469,65.5999984741211,67.0,5564
2025-06-12,66.20999908447266,67.19999694824219,65.41000366210938,67.19999694824219,9873
2025-06-13,64.95999908447266,66.12000274658203,64.87999725341797,64.9000015258789,3815
2025-06-16,64.30000305175781,65.80000305175781,63.65999984741211,65.80000305175781,4685
2025-06-17,64.25,65.5,63.310001373291016,63.65999984741211,4040
2025-06-18,65.52999877929688,65.52999877929688,63.61000061035156,65.44000244140625,2499
2025-06-19,66.08000183105469,66.83999633789062,64.88999938964844,66.80000305175781,5847
2025-06-20,66.37000274658203,67.4000015258789,65.0,66.73999786376953,3861
2025-06-23,65.04000091552734,67.0,65.04000091552734,67.0,3626
2025-06-24,63.72999954223633,63.72999954223633,63.72999954223633,63.72999954223633,5003
2025-06-25,62.45000076293945,62.5,62.45000076293945,62.45000076293945,11176
2025-06-26,61.20000076293945,62.27000045776367,61.20000076293945,62.27000045776367,8076
2025-06-27,59.970001220703125,59.970001220703125,59.970001220703125,59.970001220703125,3600
2025-06-30,58.77000045776367,58.77000045776367,58.77000045776367,58.77000045776367,6347
2025-07-01,57.59000015258789,57.59000015258789,57.59000015258789,57.59000015258789,7028
2025-07-02,58.7400016784668,58.7400016784668,56.43000030517578,56.43000030517578,17607
2025-07-03,59.90999984741211,59.90999984741211,59.130001068115234,59.90999984741211,6905
2025-07-04,61.099998474121094,61.099998474121094,61.099998474121094,61.099998474121094,994
2025-07-07,62.209999084472656,62.31999969482422,61.5,62.31999969482422,13507
2025-07-08,62.939998626708984,63.45000076293945,61.5,61.5,15497
2025-07-09,61.97999954223633,64.19000244140625,61.68000030517578,64.06999969482422,15852
2025-07-10,61.54999923706055,63.209999084472656,60.7400016784668,62.0,10746
2025-07-11,60.65999984741211,62.41999816894531,60.310001373291016,62.41999816894531,9846
2025-07-14,59.439998626708984,60.65999984741211,59.439998626708984,60.310001373291016,4765
2025-07-15,58.25,59.439998626708984,58.25,59.439998626708984,8561
2025-07-16,58.02000045776367,59.40999984741211,57.09000015258789,57.09000015258789,7607
2025-07-17,59.16999816894531,59.18000030517578,58.0,59.0,12885
2025-07-18,59.720001220703125,60.349998474121094,58.34000015258789,59.16999816894531,7627
2025-07-21,59.16999816894531,60.900001525878906,58.540000915527344,60.900001525878906,9387
2025-07-22,58.36000061035156,60.0,58.0,58.380001068115234,11456
2025-07-23,58.97999954223633,59.4900016784668,57.90999984741211,58.400001525878906,3135
2025-07-24,59.619998931884766,59.95000076293945,58.58000183105469,59.95000076293945,10244
2025-07-25,60.18000030517578,60.75,59.15999984741211,60.63999938964844,14131
2025-07-28,60.33000183105469,61.349998474121094,59.099998474121094,60.18000030517578,14634
2025-07-29,61.060001373291016,61.5,59.20000076293945,61.20000076293945,12599
2025-07-30,60.13999938964844,62.029998779296875,59.83000183105469,61.20000076293945,16576
